Date,Close,MA5,MA20,MA60,RSI14,std,upperb,lowerb,%K,%D,SP500,NASDAQ_COMP
2011/07/21,3.675,3.543,3.78225,4.29975,40.92794769,0.196448567,4.175147134,3.389352866,40.60148866,26.31578633,1343.800049,2834.429932
2011/07/22,3.75,3.588,3.767125,4.281833333,45.01399806,0.185908642,4.138942283,3.395307717,51.87968793,36.09021613,1345.02002,2858.830078
2011/07/25,3.69,3.636,3.754875,4.262041667,42.48234159,0.182301577,4.119478155,3.390271845,50.00002091,47.4937325,1337.430054,2842.800049
2011/07/26,3.6,3.645,3.74225,4.238708333,38.94419473,0.183920928,4.110091857,3.374408143,35.29410496,45.7246046,1331.939941,2839.959961
2011/07/27,3.465,3.636,3.72175,4.21425,34.32605334,0.191056791,4.103863582,3.339636418,11.99998856,32.43137147,1304.890015,2764.790039
2011/07/28,3.4575,3.5925,3.697875,4.193583333,34.08423445,0.192832548,4.083540095,3.312209905,14.90682126,20.73363826,1300.670044,2766.25
2011/07/29,3.4575,3.534,3.6715,4.1735,34.08423445,0.187494561,4.046489123,3.296510877,16.43834006,14.44838329,1292.280029,2756.379883
2011/08/01,3.6425,3.5245,3.65175,4.156458333,45.14027884,0.166545987,3.984841974,3.318658026,67.12325456,32.82280529,1286.939941,2744.610107
2011/08/02,3.605,3.5255,3.6335,4.136041667,43.54586301,0.148900355,3.93130071,3.33569929,46.36871181,43.31010214,1254.050049,2669.23999
2011/08/03,3.7025,3.573,3.62275,4.115458333,48.62667439,0.13436963,3.891489259,3.354010741,68.15644095,60.54946911,1260.339966,2693.070068
2011/08/04,3.35,3.5515,3.593625,4.088875,36.00882286,0.126601517,3.846828034,3.340421966,0,38.17505092,1200.069946,2556.389893
2011/08/05,3.2375,3.5075,3.562625,4.060041667,33.06035473,0.13426328,3.83115156,3.29409844,12.58990868,26.91544988,1199.380005,2532.409912
2011/08/08,2.9825,3.3755,3.525625,4.024333333,27.55315117,0.181530183,3.888685365,3.162564635,2.266286962,4.952065215,1119.459961,2357.689941
2011/08/09,3.2325,3.301,3.503625,4.002125,38.38907325,0.189289661,3.882204321,3.125045679,30.594901,15.15036555,1172.530029,2482.52002
2011/08/10,3.085,3.1775,3.474625,3.979791667,35.05739741,0.206877276,3.888379552,3.060870448,13.8810144,15.58073412,1120.76001,2381.050049
2011/08/11,3.3525,3.178,3.46625,3.962208333,44.46980564,0.208329035,3.88290807,3.04959193,44.19262277,29.55617939,1172.640015,2492.679932
2011/08/12,3.22,3.1745,3.451,3.940708333,41.27847716,0.214862869,3.880725739,3.021274261,29.1784649,29.08403402,1178.810059,2507.97998
2011/08/15,3.3425,3.2465,3.445625,3.922333333,45.19441668,0.216229464,3.878083927,3.013166073,43.05947929,38.81018899,1204.48999,2555.199951
